web-scraper-order,web-scraper-start-url,pagination,etp-card-link,etp-card-link-href,accreditation_time,has_personal_account,has_agency_scheme,is_chrome_ok,is_bids_visible,www,address,phone,vk_url,vat_id,rplace,rating
"1677239102-210","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","Открытая ТП","https://tbankrot.ru/analitika?etp=180","3 рабочих дня","нет","да","нет","нет","http://www.opentp.ru","143900, Московская обл., г. Балашиха, ул. Советская, д.36, лит. В6","+7 (938)1317177","null","5001095100","49","-0.4"
"1677239106-211","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","Сибирская ЭП","https://tbankrot.ru/analitika?etp=184","null","null","null","null","null","http://www.sibtorgi.ru","630005, г. Новосибирск, ул. Некрасова, д.50","Нет данных","null","5406792726","48","0"
"1677239109-212","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","Аукционы Дальнего Востока","https://tbankrot.ru/analitika?etp=159","3 рабочих дня","нет","да","нет","нет","https://torgidv.ru","683003, Камчатский край, город Петропавловск-Камчатский, ул.Ленинградская, д.33 а, офис 700","+7(4152) 42-08-50, +7(4152) 41-04-56, +7(4152) 41-04-65","null","4101144616","47","0"
"1677239113-213","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","Банкротство РТ","https://tbankrot.ru/analitika?etp=181","null","null","null","null","null","https://www.etp-bankrotstvo.ru","420012, Республика Татарстан, г. Казань, ул. Маяковского, д.30, офис 4","Нет данных","null","1655269981","46","0.5"
"1677239117-214","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","UralBidIn","https://tbankrot.ru/analitika?etp=154","3 рабочих дня","нет","да","нет","нет","https://www.uralbidin.ru","620028, Свердловская обл., г. Екатеринбург, ул. Фролова, д. 29, оф. 7","+7 (343) 286 98 47","null","6658371541","45","0.6"
"1677239120-215","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","Евразийская ТП","https://tbankrot.ru/analitika?etp=170","3 рабочих дня","нет","да","да","нет","http://eurtp.ru/","410031, г. Саратов, ул. Волжская, д. 34","8(8452) 24-57-73,  8(8452) 24-57-74,  8(8452) 24-57-75","null","6455053254","44","0.9"
"1677239124-216","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","ЭТП ""Регион""","https://tbankrot.ru/analitika?etp=151","3 рабочих дня","нет","да","да","нет","https://bankruptcy.gloriaservice.ru/","191015, Санкт-Петербург, ул. Шпалерная, лит. А, пом. 59Н","+7 (929) 102-85-02","null","7807354297","42","1.2"
"1677239127-217","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=3&section=etp","ТендерСтандарт","https://tbankrot.ru/analitika?etp=158","null","null","null","null","null","https://tenderstandart.ru","344006, Ростовская обл., г. Ростов-на-Дону, ул. Пушкинская, 104/32, оф.61","8-800-300-80-66","https://vk.com/tenderstandart","6163109679","41","1.4"
"1677239135-218","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=2&section=etp","«Property Trade»","https://tbankrot.ru/analitika?etp=137","3 рабочих дня","нет","да","да","нет","http://www.propertytrade.ru","195009, г. Санкт-Петербург, пр. Кондратьевский, д. 2, корп. 4, лит. А","+7(812) 331 87 65, 	+7(812) 331 87 56","null","7813486372","40","1.7"
"1677239138-219","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=2&section=etp","«ТЕНДЕР ГАРАНТ»","https://tbankrot.ru/analitika?etp=146","3 рабочих дня","нет","да","нет","нет","http://www.tendergarant.com","197760, г. Санкт-Петербург, г. Кронштадт, ул. Гидростроителей, д. 8, литер А","+ 7 812 439 01 45","null","7843313514","39","1.7"
"1677239142-220","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=2&section=etp","ЭТП ""Заказ РФ""","https://tbankrot.ru/analitika?etp=186","3 рабочих дня","нет","да","да","да","http://bankrot.zakazrf.ru","420021, РТ, г.Казань, ул.Московская, д.55, пом. 510","+7 (843) 500-51-20","null","1655391893","38","1.7"
"1677239145-221","https://tbankrot.ru/analitika?section=etp","https://tbankrot.ru/analitika?page=2&section=etp","KARTOTEKA.RU","https://tbankrot.ru/analitika?etp=133","3 рабочих дня","нет","да","нет","нет","https://etp.kartoteka.ru","117997, г. Москва, Нахимовский пр-т, 32, ИДВ РАН, офис 1312","8 800 100-85-55","https://vk.com/kartotekaru","7713038962","37","1.8"
